surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion,lesion_1,cp_data,outcome
1,1,533692,37.8,48.0,16.0,3.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,53.0,53.0,2.0,2.0,1,3205,0,1.0
1,1,535208,37.5,96.0,24.0,3.0,2.0,5.0,1.0,5.0,0.0,2.0,0.0,1.0,2.0,,1.0,66.0,65.0,1.0,2.0,1,2208,0,1.0
1,1,528523,38.0,66.0,12.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,44.0,6.1,1.0,3.6,1,2208,1,0.0
1,0,529893,38.7,88.0,20.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,7.0,3.0,2.0,34.0,6.1,0.0,2.6,1,7111,0,2.0
1,1,534145,38.1,129.0,48.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,,0.0,57.0,66.0,1.0,2.0,0,3205,0,1.0
1,1,530233,37.6,96.0,48.0,3.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,4.5,0.0,,45.0,4.6,0.0,2.8,1,3207,1,2.0
1,1,529399,39.1,84.0,48.0,3.0,2.0,5.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,2.0,2.0,59.0,8.4,1.0,3.3,0,4206,1,0.0
1,1,530354,38.0,92.0,28.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,,,46.0,5.3,1.0,2.0,1,3111,0,0.0
1,1,528503,39.4,124.0,32.0,0.0,2.0,2.0,0.0,,0.0,2.0,0.0,1.0,5.0,2.0,2.0,48.0,7.3,1.0,3.4,0,2209,1,1.0
0,0,529796,40.3,114.0,36.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,7.0,0.0,1.0,47.0,7.5,1.0,4.5,1,2113,0,2.0
0,1,529642,37.6,48.0,28.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,6.5,1.0,,49.0,7.0,2.0,3.6,0,0,1,0.0
0,1,529796,38.5,60.0,40.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,1.0,5.5,0.0,2.0,45.0,8.6,1.0,4.1,1,0,1,2.0
1,1,527916,38.0,129.0,96.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,,1.0,5.0,0.0,1.0,73.0,8.4,1.0,4.1,1,2206,1,1.0
1,1,530360,38.0,64.0,24.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,3.5,0.0,0.0,47.0,7.5,0.0,2.6,1,3209,1,2.0
1,1,528298,37.2,96.0,24.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,,4.5,,1.0,31.5,6.1,1.0,5.3,1,3209,1,0.0
1,1,533871,38.5,80.0,16.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,54.0,67.0,2.0,2.0,1,3205,0,0.0
1,1,529388,37.2,68.0,12.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,49.0,7.0,0.0,2.6,1,2124,0,0.0
1,1,527563,37.6,92.0,20.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,48.0,6.0,1.0,3.4,1,2209,1,0.0
1,1,528548,38.2,68.0,24.0,2.0,,3.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,45.0,7.0,0.0,3.6,1,3113,1,0.0
1,1,534163,38.1,140.0,68.0,3.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,39.0,64.0,,2.0,1,3205,0,1.0
1,1,529827,37.1,84.0,30.0,3.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,30.0,6.0,1.0,2.9,1,2205,1,2.0
1,1,527563,37.8,52.0,24.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,5.7,1.0,,48.0,7.2,2.0,3.7,1,2112,0,2.0
1,1,529399,37.6,84.0,30.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,55.0,8.1,1.0,3.9,1,2208,0,0.0
1,1,535196,38.0,130.0,16.0,3.0,2.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,2.0,,0.0,52.0,65.0,1.0,2.0,0,3205,0,1.0
1,1,527563,39.1,120.0,18.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,5.3,2.0,3.0,64.0,8.0,0.0,3.9,1,2208,0,0.0
0,1,534787,38.0,56.0,14.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,57.0,65.0,0.0,2.0,0,0,1,0.0
1,1,533871,37.2,72.0,30.0,0.0,2.0,2.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,,0.0,60.0,70.0,1.0,2.0,1,3205,0,0.0
1,1,528548,38.1,66.0,12.0,3.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,3.5,3.0,0.0,44.0,7.5,0.0,3.6,1,2124,1,0.0
1,1,535176,38.4,80.0,35.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,3.5,0.0,1.0,50.0,85.0,0.0,1.3,1,3205,0,1.0
1,1,528742,37.7,48.0,16.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,4.5,2.0,,35.0,7.5,1.0,4.5,1,3205,0,0.0
1,1,529045,37.7,60.0,12.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,0.0,2.0,6.0,3.0,2.0,45.0,7.5,1.0,1.4,1,4206,0,2.0
0,1,527518,37.6,108.0,96.0,0.0,2.0,2.0,1.0,5.0,0.0,3.0,0.0,1.0,4.5,,1.0,52.0,6.1,0.0,3.7,0,3205,0,1.0
1,1,5290482,36.1,88.0,40.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,44.0,7.5,1.0,5.3,1,4205,1,2.0
1,1,534787,38.0,36.0,16.0,3.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,1.0,2.0,2.0,,37.0,75.0,0.0,1.0,0,3111,0,1.0
1,1,527463,37.6,96.0,18.0,3.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,,1.0,69.0,8.1,1.0,2.0,1,2208,0,0.0
0,1,529172,38.2,56.0,40.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,,7.5,,,47.0,7.2,2.0,2.5,0,8300,1,0.0
1,1,528996,38.6,52.0,20.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,5.7,1.0,,48.0,7.2,2.0,5.0,0,0,1,0.0
1,1,528548,38.1,52.0,96.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,4.4,3.0,0.0,43.0,6.1,0.0,3.6,1,2124,1,0.0
1,1,533887,38.2,88.0,24.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,66.0,64.0,1.0,2.0,1,4205,0,1.0
0,1,528904,37.7,96.0,30.0,3.0,2.0,1.0,1.0,4.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,66.0,75.0,1.0,2.0,1,4205,0,2.0
1,1,535407,37.2,80.0,36.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,,50.0,60.0,1.0,2.0,1,1400,0,1.0
1,1,527563,38.1,52.0,24.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,7.0,1.0,,54.0,7.5,0.0,2.6,1,5400,0,2.0
1,1,533902,38.1,80.0,51.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,54.0,82.0,1.0,2.0,1,7209,0,0.0
1,1,523190,38.0,84.0,24.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.5,1.0,0.0,36.0,6.6,2.0,3.9,1,3115,0,0.0
1,0,534073,37.5,66.0,13.0,,,,,,,,0.0,1.0,5.0,2.0,,40.0,4.5,,0.1,1,11124,0,0.0
0,1,534135,37.2,48.0,24.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,42.0,75.0,2.0,1.0,0,0,0,0.0
1,0,5290409,39.2,164.0,24.0,0.0,2.0,5.0,1.0,4.0,0.0,1.0,1.0,1.0,5.0,0.0,,72.0,6.2,,3.2,1,4207,0,2.0
0,1,529160,38.4,48.0,28.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,,7.0,2.0,3.0,49.0,8.1,0.0,1.5,0,3111,1,0.0
1,1,534917,37.8,52.0,16.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,1.0,46.0,81.0,2.0,2.0,1,2205,0,0.0
1,1,534784,38.6,120.0,16.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,0.0,57.0,62.0,1.0,2.0,1,2209,0,1.0
0,1,5299253,38.1,108.0,48.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,52.0,6.0,1.0,2.0,1,4205,0,0.0
1,1,534004,38.0,52.0,24.0,3.0,2.0,2.0,0.0,5.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,57.0,82.0,1.0,2.0,1,2209,1,1.0
1,1,534115,37.2,88.0,20.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,65.0,82.0,,2.0,0,3205,0,1.0
1,1,529667,37.8,30.0,12.0,2.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,1.0,6.5,0.0,0.0,46.0,6.5,1.0,4.4,1,3205,1,2.0
1,1,5297159,39.2,100.0,24.0,3.0,2.0,2.0,1.0,4.0,0.0,3.0,0.0,0.0,3.0,,,60.0,7.5,1.0,3.0,1,2124,1,2.0
1,1,529388,38.2,66.0,16.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,36.0,6.6,1.0,3.4,1,31110,1,2.0
0,1,529427,37.5,88.0,24.0,2.0,2.0,4.0,0.0,2.0,2.0,0.0,,2.0,4.0,1.0,,69.0,8.2,0.0,5.0,0,3111,1,0.0
1,0,5279822,37.2,64.0,28.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,5.5,1.0,,54.0,7.7,0.0,3.3,1,2208,1,2.0
1,1,527463,38.0,104.0,40.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,5.4,0.0,1.0,53.0,7.3,0.0,2.3,1,2209,0,2.0
1,1,527677,38.4,52.0,12.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,6.5,1.0,1.0,54.0,6.1,1.0,3.6,1,2208,0,0.0
1,1,530612,38.5,76.0,28.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,5.5,1.0,1.0,40.0,6.5,0.0,3.2,1,2208,1,0.0
0,1,535415,38.0,146.0,36.0,3.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,57.0,66.0,1.0,2.0,1,3205,1,1.0
1,0,530561,38.2,120.0,48.0,3.0,2.0,4.0,0.0,1.0,,1.0,0.0,0.0,4.5,,,37.0,6.1,0.0,2.6,1,1400,1,2.0
0,1,528682,38.4,52.0,21.0,,,1.0,0.0,,,,1.0,1.0,5.5,1.0,,43.0,6.8,2.0,3.6,0,0,0,0.0
1,1,530242,37.2,108.0,12.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,,52.0,8.2,1.0,7.4,1,2207,1,1.0
1,0,529172,38.1,124.0,24.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,2.0,,47.0,7.5,2.0,2.6,1,9400,1,0.0
1,1,530002,39.4,100.0,51.0,3.0,2.0,2.0,1.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,57.0,8.5,1.0,3.9,1,4205,0,2.0
1,1,534784,39.4,48.0,40.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,49.0,74.0,1.0,2.0,1,2206,0,0.0
0,1,5289419,38.4,52.0,20.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,48.0,7.7,1.0,4.3,0,2124,1,0.0
0,1,528548,38.3,104.0,40.0,3.0,2.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,54.0,7.4,1.0,3.6,0,3113,1,2.0
1,1,529498,38.5,88.0,24.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,4.5,2.0,1.0,54.0,7.5,0.0,2.6,1,2205,0,0.0
0,1,529126,38.7,54.0,36.0,2.0,,3.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,1.0,1.0,39.0,6.0,0.0,2.6,0,300,1,0.0
0,1,529667,38.3,64.0,30.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,7.5,2.0,0.0,47.0,7.2,,0.1,0,0,0,0.0
0,1,5291409,38.6,50.0,24.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,,7.0,1.0,,46.0,5.9,2.0,1.0,0,0,0,0.0
1,1,5287179,37.5,114.0,36.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,7.0,2.0,1.0,48.0,7.2,1.0,4.7,1,2208,0,2.0
0,1,530526,38.5,56.0,24.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,,1.0,5.0,0.0,0.0,33.0,3.9,0.0,3.9,1,3111,1,1.0
1,1,530526,39.3,96.0,28.0,0.0,2.0,5.0,1.0,4.0,0.0,2.0,,1.0,2.0,0.0,1.0,65.0,13.0,1.0,3.9,1,2208,1,2.0
1,1,5290759,37.7,76.0,20.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,53.0,6.5,1.0,3.9,1,3205,0,0.0
1,1,532110,39.2,104.0,51.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,47.0,7.5,1.0,2.6,1,2111,0,0.0
1,1,528996,38.1,54.0,18.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,,3.0,2.0,3.0,39.0,7.0,2.0,3.0,1,3111,0,0.0
1,1,534293,39.4,104.0,30.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,5.5,0.0,0.0,65.0,75.0,1.0,2.6,1,2207,0,0.0
0,1,534280,38.3,52.0,20.0,,2.0,2.0,0.0,2.0,2.0,,,1.0,2.0,,1.0,53.0,86.0,2.0,2.0,0,2209,1,1.0
1,1,528214,40.3,114.0,36.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,4.4,0.0,1.0,68.0,7.7,1.0,4.8,1,2209,0,2.0
0,1,527933,39.1,72.0,30.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,44.0,7.3,0.0,2.0,1,3300,1,2.0
1,1,530612,38.6,42.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,5.4,,,43.0,8.1,1.0,4.4,1,2205,1,0.0
0,1,5283431,38.0,54.0,24.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,2.0,0.0,41.0,7.5,2.0,6.0,0,3112,1,0.0
1,1,534917,37.1,84.0,40.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,75.0,81.0,2.0,2.0,1,2112,0,0.0
1,1,528743,37.9,52.0,14.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,37.0,4.0,1.0,3.4,1,2208,1,0.0
1,1,529766,38.9,96.0,24.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,7.5,2.0,1.0,69.0,13.0,1.0,6.5,1,2208,1,2.0
0,1,529304,38.1,48.0,40.0,3.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,1.0,6.5,0.0,1.0,54.0,8.1,1.0,4.1,1,3205,0,2.0
1,1,530401,38.0,84.0,40.0,0.0,2.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,0.0,75.0,7.2,1.0,4.3,1,3205,1,2.0
1,1,527702,38.0,88.0,24.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,5.7,2.0,1.0,36.0,6.6,1.0,3.7,1,2205,0,2.0
1,1,529849,37.8,48.0,32.0,3.0,,0.0,0.0,2.0,2.0,1.0,0.0,1.0,7.0,0.0,1.0,41.0,7.0,2.0,1.0,1,2124,0,0.0
1,1,534157,38.4,40.0,16.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,52.0,77.0,1.0,2.0,1,2209,0,1.0
0,1,534998,38.3,130.0,48.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,52.0,75.0,1.0,2.0,1,3205,0,1.0
0,1,529340,38.3,48.0,28.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,7.2,1.0,,47.0,5.5,0.0,4.1,0,0,1,0.0
1,1,528904,38.0,80.0,16.0,3.0,2.0,4.0,0.0,4.0,2.0,2.0,2.0,0.0,4.5,0.0,0.0,60.0,7.2,1.0,4.1,1,7111,1,2.0
1,1,528742,38.1,48.0,12.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,7.5,2.0,1.0,48.0,8.6,1.0,2.0,1,2208,1,0.0
1,1,530276,38.0,48.0,16.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,6.5,2.0,,42.0,7.0,2.0,2.6,1,400,0,0.0
1,1,5290409,38.3,164.0,84.0,2.0,0.0,3.0,0.0,1.0,,3.0,1.0,1.0,5.0,2.0,,64.0,8.0,2.0,6.0,1,3205,1,2.0
1,0,530002,39.2,150.0,51.0,2.0,2.0,4.0,0.0,,2.0,2.0,0.0,1.0,2.0,0.0,2.0,47.0,8.1,0.0,2.2,0,1400,1,2.0
0,1,527927,37.2,42.0,16.0,,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,6.5,1.0,2.0,45.0,7.5,0.0,7.0,0,2300,1,0.0
1,1,534886,38.1,92.0,36.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.5,2.0,0.0,38.0,75.0,0.0,1.0,0,2322,0,0.0
1,1,5290409,39.2,114.0,48.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,4.5,0.0,1.0,57.0,5.7,0.0,6.6,0,2205,1,2.0
1,1,527365,37.1,104.0,35.0,0.0,2.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,73.0,11.0,1.0,3.9,1,2205,1,2.0
1,0,528641,39.1,164.0,84.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,5.0,2.0,,40.0,7.2,1.0,5.3,1,7209,1,2.0
0,1,528461,38.7,60.0,18.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,5.5,1.0,,49.0,7.2,2.0,1.3,0,0,0,0.0
1,1,528469,38.3,104.0,40.0,2.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,6.5,1.0,,64.0,9.1,0.0,2.6,1,2205,1,2.0
1,1,527702,37.4,52.0,12.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,6.5,0.0,1.0,43.0,7.4,1.0,2.6,0,2209,0,1.0
1,1,529607,38.3,84.0,36.0,3.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0,7.0,1.0,0.0,45.0,6.5,0.0,1.6,1,7111,1,2.0
1,1,533942,37.4,84.0,36.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,46.0,46.0,1.0,2.0,1,7209,0,2.0
1,1,529272,38.3,132.0,28.0,,2.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,6.2,0.0,1.0,57.0,8.0,,5.2,1,2112,0,0.0
1,1,530233,37.8,96.0,48.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,4.5,0.0,1.0,53.0,6.5,1.0,2.0,1,3205,0,2.0
1,1,5290409,39.1,164.0,84.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,2.0,,48.0,7.2,,5.3,1,2208,0,2.0
1,1,528682,38.3,66.0,16.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,48.0,7.0,1.0,6.0,1,3133,1,0.0
1,1,527365,38.1,68.0,12.0,2.0,2.0,3.0,0.0,4.0,2.0,2.0,1.0,0.0,4.4,0.0,,50.0,7.6,0.0,2.9,1,3205,1,2.0
1,1,529796,37.9,88.0,28.0,3.0,2.0,4.0,1.0,4.0,0.0,3.0,0.0,1.0,6.5,1.0,0.0,60.0,6.1,1.0,3.4,1,4205,0,2.0
1,1,535407,38.0,96.0,16.0,3.0,2.0,4.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,60.0,69.0,0.0,3.0,1,2207,0,1.0
1,1,529796,38.0,54.0,12.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,5.2,,,39.0,7.5,2.0,5.0,1,4205,0,0.0
1,1,527563,37.8,52.0,24.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,48.0,7.5,2.0,2.0,1,5400,0,0.0
1,1,535208,38.3,100.0,20.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,5.5,0.0,1.0,65.0,75.0,1.0,5.0,1,2205,1,0.0
1,1,528183,38.3,45.0,12.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,5.4,1.0,1.0,39.0,7.0,0.0,1.5,1,2112,1,0.0
1,1,527463,38.4,96.0,18.0,2.0,2.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,,1.0,49.0,8.9,1.0,6.0,1,2208,1,0.0
1,1,529766,36.5,136.0,48.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.5,2.0,0.0,48.0,6.1,1.0,4.3,1,2207,1,2.0
0,1,529796,38.1,76.0,24.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,6.5,0.0,2.0,73.0,8.1,2.0,3.6,1,7111,1,0.0
0,1,528743,38.0,86.0,28.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,1.0,,48.0,7.6,0.0,2.6,0,0,1,1.0
0,1,535407,37.8,44.0,20.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,52.0,65.0,1.0,2.3,0,4300,1,1.0
1,1,533696,38.7,60.0,32.0,0.0,2.0,3.0,1.0,5.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,53.0,64.0,1.0,2.0,1,3111,0,1.0
